"materialid","nombre"
"2189959","GPP_30x3-30X3_M30x30_HG 1000x2000"
"2189960","GPP_30x6_M38x38_GREEN 1000x2000"
"2189961","GPP_30x6_M38x38_GREY 1000x2000"
"2051010","HE1000A_HB_Standard"
"2006068","HE100A_HB_Standard 12100"
"2006087","HE100B_HB_Standard"
"2006082","HE100B_HB_Standard 12100"
"2002629","HE120A_HB_Standard"
"2019747","HE120A_HB_Standard 12100"
"2006096","HE120B_HB_Standard"
"2006091","HE120B_HB_Standard 12100"
"2006093","HE120B_HB_Standard 14100"
"2002664","HE140A_HB_Standard"
"2019751","HE140A_HB_Standard 12100"
"2006110","HE140B_HB_Standard"
"2006104","HE140B_HB_Standard 12100"
"2006106","HE140B_HB_Standard 14100"
"2006107","HE140B_HB_Standard 15100"
"2006120","HE160A_HB_Standard"
"2006114","HE160A_HB_Standard 12100"
"2006116","HE160A_HB_Standard 14100"
"2006117","HE160A_HB_Standard 15100"
"2006129","HE160B_HB_Standard"
"2006124","HE160B_HB_Standard 12100"
"2006126","HE160B_HB_Standard 14100"
"2006127","HE160B_HB_Standard 15100"
"2006141","HE180A_HB_Standard"
"2006133","HE180A_HB_Standard 12100"
"2006135","HE180A_HB_Standard 14100"
"2006136","HE180A_HB_Standard 15100"
"2006152","HE180B_HB_Standard"
"2006145","HE180B_HB_Standard 12100"
"2006147","HE180B_HB_Standard 14100"
"2006148","HE180B_HB_Standard 15100"
"2002769","HE200A_HB_Standard"
"2019752","HE200A_HB_Standard 12100"
"2060330","HE200A_HB_Standard 14100"
"2006168","HE200B_HB_Standard"
"2006160","HE200B_HB_Standard 12100"
"2006162","HE200B_HB_Standard 14100"
"2006163","HE200B_HB_Standard 15100"
"2006185","HE220A_HB_Standard"
"2006177","HE220A_HB_Standard 12100"
"2006180","HE220A_HB_Standard 15100"
"2006197","HE220B_HB_Standard"
"2006189","HE220B_HB_Standard 12100"
"2006192","HE220B_HB_Standard 15100"
"2006214","HE240A_HB_Standard"
"2006206","HE240A_HB_Standard 12100"
"2006227","HE240B_HB_Standard"
"2006219","HE240B_HB_Standard 12100"
"2006242","HE260A_HB_Standard"
"2006254","HE260B_HB_Standard"
"2006246","HE260B_HB_Standard 12100"
"2006261","HE280A_HB_Standard 12100"
"2006280","HE280B_HB_Standard"
"2006273","HE280B_HB_Standard 12100"
"2006275","HE280B_HB_Standard 15100"
"2002963","HE300A_HB_Standard"
"2002962","HE300A_HB_Standard 12100"
"2049915","HE300A_HB_Standard 15100"
"2052588","HE300A_HB_Standard 6100"
"2006296","HE300B_HB_Standard"
"2006287","HE300B_HB_Standard 12100"
"2006289","HE300B_HB_Standard 14100"
"2006290","HE300B_HB_Standard 15100"
"2006306","HE320A_HB_Standard 12100"
"2006335","HE340A_HB_Standard"
"2006353","HE360A_HB_Standard 12100"
"2046876","HE650B_HB_Standard 12100"
"2003328","IPE100_HB_Standard"
"2056430","IPE100_HB_Standard 12100"
"2006560","IPE120_HB_Standard"
"2006554","IPE120_HB_Standard 12100"
"2006575","IPE140_HB_Standard"
"2006569","IPE140_HB_Standard 12100"
"2006571","IPE140_HB_Standard 14100"
"2003377","IPE160_HB_Standard"
"2019542","IPE160_HB_Standard 12100"
"2059851","IPE160_HB_Standard 14100"
"2049458","IPE160_HB_Standard 15100"
"2006595","IPE180_HB_Standard"
"2006588","IPE180_HB_Standard 12100"
"2006591","IPE180_HB_Standard 15100"
"2003419","IPE200_HB_Standard"
"2019543","IPE200_HB_Standard 12100"
"2052392","IPE200_HB_Standard 14100"
"2006611","IPE220_HB_Standard"
"2006603","IPE220_HB_Standard 12100"
"2006605","IPE220_HB_Standard 14100"
"2006606","IPE220_HB_Standard 15100"
"2006624","IPE240_HB_Standard"
"2006615","IPE240_HB_Standard 12100"
"2006618","IPE240_HB_Standard 15100"
"2006639","IPE270_HB_Standard"
"2006630","IPE270_HB_Standard 12100"
"2006633","IPE270_HB_Standard 15100"
"2006657","IPE300_HB_Standard"
"2006648","IPE300_HB_Standard 12100"
"2006651","IPE300_HB_Standard 15100"
"2006677","IPE330_HB_Standard"
"2006668","IPE330_HB_Standard 12100"
"2006671","IPE330_HB_Standard 15100"
"2006693","IPE360_HB_Standard"
"2060165","IPE450_HB_Standard 12100"
"2006716","IPE550_HB_Standard 12100"
"2003668","IPN080_HB_Standard"
"2003667","IPN080_HB_Standard 12100"
"2058349","IPN080_HB_Standard 6100"
"2006734","IPN100_HB_Standard"
"2006729","IPN100_HB_Standard 10100"
"2006731","IPN100_HB_Standard 12100"
"2006735","IPN100_HB_Standard 6100"
"2006741","IPN120_HB_Standard"
"2006738","IPN120_HB_Standard 12100"
"2006739","IPN120_HB_Standard 14100"
"2006750","IPN140_HB_Standard"
"2006745","IPN140_HB_Standard 12100"
"2006756","IPN160_HB_Standard"
"2006753","IPN160_HB_Standard 12100"
"2006757","IPN160_HB_Standard 6100"
"2006763","IPN180_HB_Standard"
"2006760","IPN180_HB_Standard 12100"
"2006770","IPN200_HB_Standard"
"2006765","IPN200_HB_Standard 12100"
"2006775","IPN220_HB_Standard"
"2006773","IPN220_HB_Standard 12100"
"2051312","IPN220_HB_Standard 14100"
"2006780","IPN240_HB_Standard"
"2006777","IPN240_HB_Standard 12100"
"2006784","IPN260_HB_Standard"
"2006782","IPN260_HB_Standard 12100"
"2006793","IPN300_HB_Standard"
"2006791","IPN300_HB_Standard 12100"
"2048583","IPN400_HB_Standard 16100"
"2056839","IPN500_HB_Standard 12100"
"2161180","L100x10_HB_S275JR 12100"
"2161184","L100x10_HB_S275JR 6100"
"2079409","L110x10_HB_S355J2 12000"
"2161205","L120x12_HB_S275JR 12100"
"2161206","L120x12_HB_S275JR 6100"
"2161214","L120x15_HB_S275JR 12100"
"2161223","L150x15_HB_S275JR 12100"
"2161252","L20x3_HB_S275JR 6100"
"2161255","L25x3_HB_S275JR 6100"
"2161261","L30x3_HB_S275JR 6100"
"2161272","L35x3,5_HB_S275JR 6100"
"2174215","L40x3,6_HB_S275JR 12100"
"2161291","L40x4_HB_S275JR 6100"
"2161308","L45x4,5_HB_S275JR 6100"
"2161329","L50x5_HB_S275JR 6100"
"2161351","L60x6_HB_S275JR 12100"
"2161352","L60x6_HB_S275JR 6100"
"2161372","L70x7_HB_S275JR 12100"
"2161373","L70x7_HB_S275JR 6100"
"2161384","L80x6_HB_S275JR 6100"
"2161385","L80x8_HB_S275JR 12100"
"2161386","L80x8_HB_S275JR 6100"
"2161394","L90x9_HB_S275JR 6100"
"2202174","LU100x50x10_HB_S275JR 6100"
"2077940","PL15_HB_S275JR+AR"
"2154542","PL40_HB_S275JR+AR"
"2000171","RD10_HB_S275JR 6000"
"2000187","RD12_HB_S275JR 6000"
"2000205","RD14_HB_S275JR 6000"
"2163472","RD14_HG_S275JR 6000"
"2000220","RD16_HB_S275JR 6000"
"2000245","RD20_HB_S275JR 6000"
"2000272","RD25_HB_S275JR 6000"
"2000292","RD30_HB_S275JR 6000"
"2000306","RD35_HB_S275JR 6000"
"2000314","RD40_HB_S275JR 6000"
"2000338","RD6_HB_S275JR 6000"
"2000361","RD8_HB_S275JR 6000"
"2149402","RIB10_B500SD_AENOR 12000"
"2149362","RIB10_B500SD_AENOR 6000"
"2149406","RIB12_B500SD_AENOR 12000"
"2149366","RIB12_B500SD_AENOR 6000"
"2149414","RIB16_B500SD_AENOR 12000"
"2149374","RIB16_B500SD_AENOR 6000"
"2149418","RIB20_B500SD_AENOR 12000"
"2149378","RIB20_B500SD_AENOR 6000"
"2149422","RIB25_B500SD_AENOR 12000"
"2149434","RIB6_B500SD_AENOR 12000"
"2149394","RIB6_B500SD_AENOR 6000"
"2149438","RIB8_B500SD_AENOR 12000"
"2149398","RIB8_B500SD_AENOR 6000"
"2149352","RIC8_B500SD_AENOR"
"2115493","S5B2/3,5_AW5754H114 1000x2000"
"2115494","S5B2/3,5_AW5754H114 1250x2500"
"2115495","S5B2/3,5_AW5754H114 1500x3000"
"2064032","SH0,6_HD_DX51D+Z275_MA_CE 1000x2000"
"2184330","SH0,8_CR_BASCULANTE 210x6000"
